subject_heading,frequency
"Overton, Richard, fl. 1646. --  Remonstrance of many thousand citizens, and other free-born people of England, to their own House of Commons --  Early works to 1800.",1
"Renty, Gaston-Jean-Baptiste, --  baron de, 1611-1648.",1
Swearing --  England --  Early works to 1800.,1
"Shipton, --  Mother --  (Ursula) --  Prophecies --  Early works to 1800.",1
"Bible. --  N.T. --  Romans VIII, 28 --  Sermons --  Early works to 1800.",1
Healing --  Religious aspects --  Early works to 1800.,1
Character sketches --  Early works to 1800.,1
Shoemakers --  England --  London --  Early works to 1800.,1
Alcoholic beverages --  Early works to 1800.,1
"Bible. --  O.T. --  Isaiah 25, 6-9 --  Sermons --  Early works to 1800.",1
"Brent, Nathaniel, --  Sir, 1573?-1652.",1
Eulogies --  England --  Early works to 1800.,1
Protestant converts --  England.,1
Human reproduction --  Early work to 1800.,1
"Bible. --  N.T. --  Corinthians, 2nd --  Commentaries --  Early works to 1800.",1
Scotland --  Politics and government --  1642-1649 --  Early works to 1800.,1
Messiah --  Prophecies --  Early works to 1800.,1
Bible. --  O.T. --  Psalms XC --  Commentaries --  Early works to 1800.,1
"Cupper, John, d. 1684.",1
"Brown, Judith, d. 1684.",1
Poisoners --  Great Britain.,1
Future punishment --  Early works to 1800.,1
"Goodwin, John, 1594?-1665 --  Early works to 1800.",1
"Scilly, Isles of --  History --  Early works to 1800.",1
"Bowes, Anne --  Early works to 1800.",1
Funeral orations --  Great Britain --  Early works to 1800.,1
Land tenure --  England --  Kent --  Early works to 1800.,1
Feudal law --  England --  Kent --  Early works to 1800.,1
Gavelkind --  Early works to 1800.,1
Poverty --  Social conditions --  Early works to 1800.,1
Censorship --  England --  Sources --  Early works to 1800.,1
"Fisher, Payne, 1616-1693 --  Early works to 1800.",1
"Fowler, Christopher, 1610?-1678. --  Sober answer to an angry epistle --  Early works to 1800.",1
"Ford, Simon, 1619?-1699 --  Early works to 1800.",1
"Thomas, William, 1593-1667. --  Rayling rebuked --  Early works to 1800.",1
"Overman, Mary --  Early works to 1800.",1
"Great Britain --  Religion --  17th century --  Cartoons, satire, etc.",1
"Hubberthorn, Richard, 1628-1662. --  Rebukes of a reviler fallen upon his own head.",1
"Burrough, Edward, 1634-1662 --  Early works to 1800.",1
"Bible. --  O.T. --  Psalms XIV, 7 --  Sermons --  Early works to 1800.",1
"Bible. --  O.T. --  Lamentations IIII, 20 --  Sermons --  Early works to 1800.",1
"Bible. --  O.T. --  Isaiah I, 26 --  Sermons --  Early works to 1800.",1
"Laud, William, 1573-1645. --  Archbishop of Canterbury's speech: or his funerall sermon --  Controversial literature --  Early works to 1800.",1
"Tatton, Mabell Anna --  Early works to 1800.",1
Royalists --  England --  Early works to 1800.,1
"Bible. --  N.T. --  Peter, 1st, III, 19 --  Sermons --  Early works to 1800.",1
Church of England --  Finance --  Early works to 1800.,1
Church tax --  Great Britain --  Early works to 1800.,1
"Henderson, Alexander, 1583?-1646. --  Reformation of church-government in Scotland cleered from some mistakes --  Early works to 1800.",1
"Apologeticall narration, humbly submitted to the honourable Houses of Parliament --  Early works to 1800.",1
Coole conference between the cleared reformation and the apologeticall narration --  Early works to 1800.,1
M.S. to A.S. --  Controversial literature --  Early works to 1800.,1
"Apologeticall narration, humbly submitted to the honourable Houses of Parliament --  Controversial literature --  Early works to 1800.",1
"Christian literature, Early --  Early works to 1800.",1
National instruments --  Early works to 1800.,1
"Wilmore, Mary --  Early works to 1800.",1
"Bible. --  O.T. --  Psalms XLVI, 7 --  Sermons --  Early works to 1800.",1
"Bible. --  O.T. --  Isaiah XXX, 18 --  Sermons.",1
"Baxter, Richard, 1615-1691. --  Holy commonwealth --  Early works to 1800.",1
"Baxter, Richard, 1615-1691. --  Key for Catholicks --  Early works to 1800.",1
"Povey, Thomas, fl. 1633-1685. --  Moderator expecting sudden peace or certain ruine.",1
"Ram, Robert, d. 1657. --  Souldiers catechisme: composed for the Parliaments Army.",1
Elbing (Germany) --  Early works to 1800.,1
Malbork (Poland) --  Early works to 1800.,1
"Scotland. --  Parliament. --  Declaration of the Committee of Estates of the Parliament of Scotland, in vindication of their proceedings from the aspersions of a scandalous pamphlet, published by that excommunicate traytor, James Grahame.",1
Ireland --  History --  1660-1690.,1
"James, --  Sir, --  King of England, 1566-1625 --  Early works to 1800.",1
"Bible. --  N.T. --  Timothy 1st I, 15 --  Commentaries --  Early works to 1800.",1
"Tompkins, Nathaniel, d. 1643 --  Early works to 1800.",1
Animal breeding --  Great Britain --  Early works to 1800.,1
Domestic animals --  Great Britain --  Early works to 1800.,1
Animal industry --  Great Britain --  Early works to 1800.,1
Animals --  Early works to 1800.,1
Vivisection --  Early works to 1800.,1
"Schurman, Anna Maria van, 1607-1678 --  Early works to 1800.",1
Women --  Education --  Early works to 1800.,1
"Wheelocke, Abraham, 1593-1653.",1
"Bible. --  N.T. --  Timothy, 2nd, IV, 7-8 --  Sermons --  Early works to 1800.",1
"Bible. --  N.T. --  Corinthians, 1st, II, 18-19 --  Sermons --  Early works to 1800.",1
Scotland --  Church history --  Early works to 1800.,1
Jews --  Great Britain --  Early works to 1800.,1
Essex (England) --  Early works to 1800.,1
Lincoln (England) --  Early works to 1800.,1
Nativistic movements --  England.,1
"Heneage, Thomas, d. 1642?",1
University of Oxford.,1
"Turberville, Henry, d. 1678. --  Manuel of controversies.",1
Trading companies --  17th century --  Early works to 1800.,1
Scotland --  Commerce --  India --  Early works to 1800.,1
Ashmolean Museum --  Early works to 1800.,1
Museums --  England --  London --  Catalogs --  Early works to 1800.,1
Bible. --  O.T. --  Pentateuch --  Commentaries --  Early works to 1800.,1
"Foster, Robert, --  Sir, 1589-1663 --  Early works to 1800.",1
"Bible. --  O.T. --  Nehemiah XIII, 17 --  Sermons --  Early works to 1800.",1
"Great Britain --  History --  Charles II, 1660-1685. --  Early works to 1800.",1
Royal visitors --  France --  Early works to 1800.,1
Trials (Robbery) --  England --  Early works to 1800.,1
Trials (Burglary) --  England --  Early works to 1800.,1
"Charles --  I, --  King of England, 1600-1649 --  Death and burial.",1
Ambon Island (Indonesia) --  History --  Early works to 1800.,1
British --  Indonesia --  Early works to 1800.,1
Belgrade (Serbia) --  History --  17th century.,1
Baptism --  Church of England --  Early works to 1800.,1
"Edwards, Thomas, 1599-1647 --  Early works to 1800.",1
Letter to Mr. Tho. Edwards --  Early works to 1800.,1
Bible. --  O.T. --  Criticism and interpretation --  Early works to 1800.,1
"Ireton, John, --  Sir, 1615-1690 --  Early works to 1800.",1
Colchester (England) --  History --  17th century --  Early works to 1800.,1
Appartitions --  Early works to 1800.,1
"True, John.",1
"Mease, Susan.",1
Roundheads --  Controversial literature --  Early works to 1800.,1
"Corbet, Miles, d. 1662 --  Early works to 1800.",1
England and Wales. --  Parliament. --  House of Commons --  Fiction --  Early works to 1800.,1
Anabaptists --  Controversial literature --  Germany --  Early works to 1800.,1
"Charles --  I, --  King of England, 1600-1649 --  Death and burial --  Sermons --  Early works to 1800.",1
Informers --  Early works to 1800.,1
"Bible. --  O.T. --  Psalms II, 3 --  Sermons.",1
Liberty --  Religious aspects --  Early works to 1800.,1
"Bible. --  O.T. --  Psalms CXXII, 6 --  Sermons --  Early works to 1800.",1
Mystical union --  Early works to 1800.,1
"Preaching --  Wales,xEarly works to 1800.",1
Scotland --  Civilization --  Early works to 1800.,1
Scotland --  Biography --  Early works to 1800.,1
"Bible. --  N.T. --  Revelation XVIII, 4 --  Early works to 1800.",1
"Bible. --  N.T. --  Hebrews VI, 2 --  Early works to 1800.",1
Political satire --  Early works to 1800.,1
"Bible. --  O.T. --  Psalms XXIX, 11 --  Sermons.",1
God --  Knowableness.,1
"Peters, Hugh, 1598-1660. --  Good work for a good magistrate. Or a short cut to great quiet.",1
Light --  Symbolic aspects --  Early works to 1800.,1
Conjugal violence --  Early works to 1800.,1
Bible --  History of Biblical events --  Early works to 1800.,1
History --  Study and teaching --  Early works to 1800.,1
History --  Biblical teaching --  Early works to 1800.,1
"Bible. --  N.T. --  Ephesians VI, 18 --  Commentaries.",1
England and Wales. --  Army --  History --  17th century.,1
"Bible. --  N.T. --  James IV, 8 --  Sermons.",1
Symbolism in the Bible --  Early works to 1800.,1
Weapons --  Early works to 1800.,1
Armor --  Early works to 1800.,1
"Military ceremonies, honors, and salutes --  Early works to 1800.",1
Beatitudes --  Meditations --  Early works to 1800.,1
"Hodges, Thomas, d. 1656 --  Early works to 1800.",1
"Bible. --  N.T. --  Timothy, 2nd IV, 8 --  Sermons.",1
"Stock, Jacob, d. 1658 --  Early works to 1800.",1
"Bible. --  N.T. --  Philippians I, 23 --  Sermons.",1
Funeral sermons --  17th Century.,1
God --  Worship and love --  Meditations --  Early works to 1800.,1
Christian ethics --  Sermons --  Early works to 1800.,1
"Jamesone, George, 1589 or 90-1644.",1
Wales --  History --  17th century --  Early works to 1800.,1
Conwy (Wales) --  History --  Early works to 1800.,1
"Great Britain --  History --  Civil War, 1642-1649 --  Early works to 1800. --  Early works to 1800.",1
Trials --  England.,1
Robins --  England --  Early works to 1800.,1
Measles --  England --  Early works to 1800.,1
"Colbatch, John, --  Sir, 1670-1728. --  Novum lumen chirurgicum, or, A new light of chirurgery.",1
"Bible. --  O.T. --  Isaiah XXII, 12 --  Sermons --  Early works to 1800.",1
Church --  Quaker authors.,1
Jesus Christ --  Mystical body --  Quaker authors.,1
God --  Love --  Quaker authors.,1
Inner light.,1
"Lilburne, John, 1614?-1657. --  Liberty vindicated against slavery --  Early works to 1800.",1
"Pierrepont, Winifred, d. 1659.",1
Pierrepont family --  Early works to 1800.,1
"Bible. --  N.T. --  Philippians I, 19 --  Sermons.",1
"Bible. --  O.T. --  Isaiah IX, 15 --  Sermons --  Early works to 1800.",1
"Lenthall, William, 1591-1662.",1
"Bright, Edward --  Early works to 1800.",1
"Masterson, George, fl. 1647.",1
Civil rights --  England --  Sources.,1
"Bible. --  O.T. --  Numbers XXIII, 23 --  Sermons.",1
"Goodwin, John, 1594?-1665. --  Os ossorianum.",1
"Bible. --  O.T. --  Amos V, 6 --  Sermons.",1
Apocalyptic literature --  Anglican authors.,1
Great Britain --  Politics and government --  1642-1660 --  Sermons.,1
"Sheepheard, --  Mr. --  Early works to 1800.",1
Teachers --  Rating of --  England --  Early works to 1800.,1
Earth sciences --  Early works to 1800.,1
"Shirley, Charles, --  Sir, 1623-1646 --  Early works to 1800.",1
God --  Worship and love --  Sermons --  Early works to 1800.,1
Baths --  England --  Early works to 1800.,1
Levellers --  Controversial literature --  Early works to 1800.,1
Economics --  Religious aspects --  Christianity --  Early works to 1800.,1
Christian life --  Miscellanea.,1
"Walker, Clement, 1595-1651. --  History of independency --  Early works to 1800.",1
England and Wales. --  Parliament --  Expulsion --  Early works to 1800.,1
Political parties --  England --  Early works to 1800.,1
Roman law --  Early works to 1800.,1
Civil law --  England --  Roman influences --  Early works to 1800.,1
"Hamon, Ro. --  Early works to 1800.",1
Doubtfull almanack --  Early works to 1800.,1
Great Britain. --  Parliament. --  House of Commons --  Election districts --  Early works to 1800.,1
"Great Britain --  History --  Civil War, 1642-1649 --  Personal narratives.",1
"England and Wales. --  Army. --  Council. --  Remonstrance of His Excellency Thomas Lord Fairfax, Lord General of the Parliaments forces. And of the generall councell of officers held at St Albans the 16. of November, 1648.",1
"Westrow, Thomas --  Early works to 1800.",1
"Shawe, John, 1608-1672.",1
"Canne, John, d. 1667?",1
Puritans --  Clergy.,1
Hull (England) --  Religion --  17th century.,1
Women in literature --  17th century.,1
"Lilburne, John, 1614?-1657 --  Trials, litigation, etc.",1
Bible. --  N.T. --  Revelation XI --  Sermons --  Early works to 1800.,1
"Bible. --  N.T. --  Luke II, XXIX-XXXII --  Criticism, interpretation, etc. --  Early works to 1800.",1
Jesus Christ --  Knowableness --  Early works to 1800.,1
"Brooke, Robert Greville, --  Baron, 1607-1643. --  Nature of truth.",1
"Gage, Henry, --  Sir, ca. 1597-1645 --  Early works to 1800.",1
"Great Britain --  History --  Civil War, 1642-1649. --  Biography --  Early works to 1800.",1
"Smith, John, --  Sir, 1616-1644 --  Early works to 1800.",1
"Owen, John, 1616-1683. --  Of the divine originall, authority, self-evidencing light, and power of the Scriptures --  Early works to 1800.",1
Bible. --  Polyglot --  History --  Early works to 1800.,1
Idols and images --  England --  Early works to 1800.,1
Christians --  Conduct of life --  Early works to 1800.,1
"Bible. --  N.T. --  Luke XVIII, 31 --  Criticism, interpretation, etc.",1
Antisemitism --  Great Britain --  Early works to 1800.,1
"Charles --  I, --  King of England, 1600-1649 --  Trials --  Early works to 1800.",1
Lawfulnes of the late passages of the Army.,1
"Tillam, Thomas. --  Seventh-day Sabbath sought out and celebrated.",1
Magic --  England --  Early works to 1800.,1
"Eyre, William, 1612 or 13-1670. --  Vindiciæ justificationis gratuitæ --  Early works to 1800.",1
Conflict management --  Religious aspects --  Christianity --  Early works to 1800.,1
Prejudices --  Early works to 1800.,1
Conduct of life --  Meditations --  Early works to 1800.,1
Alcoholism --  Moral and ethical aspects --  Early works to 1800.,1
English language --  Phonetics.,1
"Keith, George, 1639?-1716 --  Early works to 1800.",1
"Bible. --  O.T. --  Psalms XXXI, 24 --  Sermons.",1
"Curtis, Langley.",1
Prayer-Books --  Early works to 1800.,1
Fireworks --  England --  Early works to 1800.,1
Change ringing --  England --  Early works to 1800.,1
"Fables, Greek.",1
"Fables, Latin.",1
"Flower, Margaret, d. 1618.",1
"Flower, Philippa, d. 1618.",1
"Greene, Ellen.",1
"Baker, Anne.",1
"Willimot, Joane.",1
"Sutton, Mary, d. 1613.",1
Witches --  England --  Early works to 1800.,1
Trials (Witchcraft) --  England --  Early works to 1800.,1
Free will and determinism --  Religious aspects --  Early works to 1800.,1
"Devotional literature, English --  17th century --  Early works to 1800.",1
"Lützen, Battle of, Lützen, Germany, 1632 --  Early works to 1800.",1
"Thirty Years' War, 1618-1648 --  Campaigns --  Germany --  Early works to 1800.",1
"Sweden--History--Gustavus II Adolphus, 1611-1632 --  Sources.",1
Solar eclipses --  Folklore --  Early works to 1800.,1
Jupiter (Planet) --  Influence on man --  Early works to 1800.,1
"Higges, Susan --  Early works to 1800.",1
Robin Hood (Legendary character) --  Early works to 1800.,1
"Montgomerie, Alexander, 1545?-1598.",1
"Polwarth, Patrick Hume, --  Baron of, d. 1609.",1
"Bible. --  N.T. --  Luke XVI, 19 --  Sermons --  Early works to 1800.",1
